## section 2 key
## There are 221  energy bands, each with  184  time bins.
## Emission    Energy of   Brightness    std. error  
##   Time      bin center (n/sterad(p)/   (n/sterad(p)/  
##   (us)         (eV)     pulse/us/eV)  pulse/us/eV)
  3.0643e-01   1.1220e-05   0.0000e+00   0.0000e+00 
  3.2667e-01   1.1220e-05   0.0000e+00   0.0000e+00 
  3.4825e-01   1.1220e-05   0.0000e+00   0.0000e+00 
  3.7125e-01   1.1220e-05   0.0000e+00   0.0000e+00 
  3.9577e-01   1.1220e-05   0.0000e+00   0.0000e+00 
  4.2191e-01   1.1220e-05   0.0000e+00   0.0000e+00 
  4.4978e-01   1.1220e-05   0.0000e+00   0.0000e+00 
  4.7949e-01   1.1220e-05   0.0000e+00   0.0000e+00 
  5.1116e-01   1.1220e-05   0.0000e+00   0.0000e+00 
  5.4492e-01   1.1220e-05   0.0000e+00   0.0000e+00 
  5.8091e-01   1.1220e-05   0.0000e+00   0.0000e+00 
  6.1928e-01   1.1220e-05   0.0000e+00   0.0000e+00 
  6.6019e-01   1.1220e-05   0.0000e+00   0.0000e+00 
  7.0379e-01   1.1220e-05   0.0000e+00   0.0000e+00 
  7.5028e-01   1.1220e-05   0.0000e+00   0.0000e+00 
  7.9983e-01   1.1220e-05   0.0000e+00   0.0000e+00 
  8.5266e-01   1.1220e-05   0.0000e+00   0.0000e+00 
  9.0898e-01   1.1220e-05   0.0000e+00   0.0000e+00 
  9.6902e-01   1.1220e-05   0.0000e+00   0.0000e+00 
  1.0330e+00   1.1220e-05   0.0000e+00   0.0000e+00 
  1.1013e+00   1.1220e-05   0.0000e+00   0.0000e+00 
  1.1740e+00   1.1220e-05   0.0000e+00   0.0000e+00 
  1.2515e+00   1.1220e-05   0.0000e+00   0.0000e+00 
  1.3342e+00   1.1220e-05   0.0000e+00   0.0000e+00 
  1.4223e+00   1.1220e-05   0.0000e+00   0.0000e+00 
  1.5163e+00   1.1220e-05   0.0000e+00   0.0000e+00 
  1.6164e+00   1.1220e-05   0.0000e+00   0.0000e+00 
  1.7232e+00   1.1220e-05   0.0000e+00   0.0000e+00 
  1.8370e+00   1.1220e-05   0.0000e+00   0.0000e+00 
  1.9583e+00   1.1220e-05   0.0000e+00   0.0000e+00 
  2.0877e+00   1.1220e-05   0.0000e+00   0.0000e+00 
  2.2256e+00   1.1220e-05   0.0000e+00   0.0000e+00 
  2.3726e+00   1.1220e-05   0.0000e+00   0.0000e+00 
  2.5293e+00   1.1220e-05   0.0000e+00   0.0000e+00 
  2.6964e+00   1.1220e-05   0.0000e+00   0.0000e+00 
  2.8745e+00   1.1220e-05   0.0000e+00   0.0000e+00 
  3.0643e+00   1.1220e-05   0.0000e+00   0.0000e+00 
  3.2667e+00   1.1220e-05   0.0000e+00   0.0000e+00 
  3.4825e+00   1.1220e-05   0.0000e+00   0.0000e+00 
  3.7125e+00   1.1220e-05   0.0000e+00   0.0000e+00 
  3.9577e+00   1.1220e-05   0.0000e+00   0.0000e+00 
  4.2191e+00   1.1220e-05   0.0000e+00   0.0000e+00 
  4.4978e+00   1.1220e-05   0.0000e+00   0.0000e+00 
  4.7949e+00   1.1220e-05   0.0000e+00   0.0000e+00 
  5.1116e+00   1.1220e-05   0.0000e+00   0.0000e+00 
  5.4492e+00   1.1220e-05   0.0000e+00   0.0000e+00 
  5.8091e+00   1.1220e-05   0.0000e+00   0.0000e+00 
  6.1928e+00   1.1220e-05   0.0000e+00   0.0000e+00 
  6.6019e+00   1.1220e-05   0.0000e+00   0.0000e+00 
  7.0379e+00   1.1220e-05   0.0000e+00   0.0000e+00 
  7.5028e+00   1.1220e-05   0.0000e+00   0.0000e+00 
  7.9983e+00   1.1220e-05   0.0000e+00   0.0000e+00 
  8.5266e+00   1.1220e-05   0.0000e+00   0.0000e+00 
  9.0898e+00   1.1220e-05   0.0000e+00   0.0000e+00 
  9.6902e+00   1.1220e-05   0.0000e+00   0.0000e+00 
  1.0330e+01   1.1220e-05   0.0000e+00   0.0000e+00 
  1.1013e+01   1.1220e-05   0.0000e+00   0.0000e+00 
  1.1740e+01   1.1220e-05   0.0000e+00   0.0000e+00 
  1.2515e+01   1.1220e-05   0.0000e+00   0.0000e+00 
  1.3342e+01   1.1220e-05   0.0000e+00   0.0000e+00 
  1.4223e+01   1.1220e-05   0.0000e+00   0.0000e+00 
  1.5163e+01   1.1220e-05   0.0000e+00   0.0000e+00 
  1.6164e+01   1.1220e-05   0.0000e+00   0.0000e+00 
  1.7232e+01   1.1220e-05   0.0000e+00   0.0000e+00 
  1.8370e+01   1.1220e-05   0.0000e+00   0.0000e+00 
  1.9583e+01   1.1220e-05   0.0000e+00   0.0000e+00 
  2.0877e+01   1.1220e-05   0.0000e+00   0.0000e+00 
  2.2256e+01   1.1220e-05   0.0000e+00   0.0000e+00 
  2.3726e+01   1.1220e-05   0.0000e+00   0.0000e+00 
  2.5293e+01   1.1220e-05   0.0000e+00   0.0000e+00 
  2.6964e+01   1.1220e-05   0.0000e+00   0.0000e+00 
  2.8745e+01   1.1220e-05   0.0000e+00   0.0000e+00 
  3.0643e+01   1.1220e-05   0.0000e+00   0.0000e+00 
  3.2667e+01   1.1220e-05   0.0000e+00   0.0000e+00 
  3.4825e+01   1.1220e-05   0.0000e+00   0.0000e+00 
  3.7125e+01   1.1220e-05   0.0000e+00   0.0000e+00 
  3.9577e+01   1.1220e-05   0.0000e+00   0.0000e+00 
  4.2191e+01   1.1220e-05   0.0000e+00   0.0000e+00 
  4.4978e+01   1.1220e-05   0.0000e+00   0.0000e+00 
  4.7949e+01   1.1220e-05   0.0000e+00   0.0000e+00 
  5.1116e+01   1.1220e-05   0.0000e+00   0.0000e+00 
  5.4492e+01   1.1220e-05   0.0000e+00   0.0000e+00 
  5.8091e+01   1.1220e-05   0.0000e+00   0.0000e+00 
  6.1928e+01   1.1220e-05   0.0000e+00   0.0000e+00 
  6.6019e+01   1.1220e-05   0.0000e+00   0.0000e+00 
  7.0379e+01   1.1220e-05   0.0000e+00   0.0000e+00 
  7.5028e+01   1.1220e-05   0.0000e+00   0.0000e+00 
  7.9983e+01   1.1220e-05   0.0000e+00   0.0000e+00 
  8.5266e+01   1.1220e-05   0.0000e+00   0.0000e+00 
  9.0898e+01   1.1220e-05   0.0000e+00   0.0000e+00 
  9.6902e+01   1.1220e-05   0.0000e+00   0.0000e+00 
  1.0330e+02   1.1220e-05   0.0000e+00   0.0000e+00 
  1.1013e+02   1.1220e-05   0.0000e+00   0.0000e+00 
  1.1740e+02   1.1220e-05   0.0000e+00   0.0000e+00 
  1.2515e+02   1.1220e-05   0.0000e+00   0.0000e+00 
  1.3342e+02   1.1220e-05   0.0000e+00   0.0000e+00 
  1.4223e+02   1.1220e-05   0.0000e+00   0.0000e+00 
  1.5163e+02   1.1220e-05   0.0000e+00   0.0000e+00 
  1.6164e+02   1.1220e-05   0.0000e+00   0.0000e+00 
  1.7232e+02   1.1220e-05   0.0000e+00   0.0000e+00 
  1.8370e+02   1.1220e-05   0.0000e+00   0.0000e+00 
  1.9583e+02   1.1220e-05   0.0000e+00   0.0000e+00 
  2.0877e+02   1.1220e-05   0.0000e+00   0.0000e+00 
  2.2256e+02   1.1220e-05   0.0000e+00   0.0000e+00 
  2.3726e+02   1.1220e-05   0.0000e+00   0.0000e+00 
  2.5293e+02   1.1220e-05   0.0000e+00   0.0000e+00 
  2.6964e+02   1.1220e-05   0.0000e+00   0.0000e+00 
  2.8745e+02   1.1220e-05   4.2032e+03   4.2032e+03 
  3.0643e+02   1.1220e-05   4.2872e+07   4.2679e+07 
  3.2667e+02   1.1220e-05   1.3304e+09   1.3300e+09 
  3.4825e+02   1.1220e-05   1.7822e+08   1.7768e+08 
  3.7125e+02   1.1220e-05   4.1566e+05   1.4507e+05 
  3.9577e+02   1.1220e-05   1.1179e+09   1.0982e+09 
  4.2191e+02   1.1220e-05   3.0953e+05   1.0066e+05 
  4.4978e+02   1.1220e-05   2.2570e+09   2.2563e+09 
  4.7949e+02   1.1220e-05   3.8964e+07   3.8645e+07 
  5.1116e+02   1.1220e-05   1.3310e+09   1.3306e+09 
  5.4492e+02   1.1220e-05   1.8115e+09   1.2894e+09 
  5.8091e+02   1.1220e-05   2.5555e+05   6.5498e+04 
  6.1928e+02   1.1220e-05   2.3447e+09   1.3541e+09 
  6.6019e+02   1.1220e-05   6.5826e+08   6.5820e+08 
  7.0379e+02   1.1220e-05   1.7516e+09   1.0184e+09 
  7.5028e+02   1.1220e-05   1.1584e+09   8.1909e+08 
  7.9983e+02   1.1220e-05   5.4385e+08   5.4379e+08 
  8.5266e+02   1.1220e-05   5.0971e+08   5.0961e+08 
  9.0898e+02   1.1220e-05   1.4503e+04   5.0152e+03 
  9.6902e+02   1.1220e-05   0.0000e+00   0.0000e+00 
  1.0330e+03   1.1220e-05   0.0000e+00   0.0000e+00 
  1.1013e+03   1.1220e-05   0.0000e+00   0.0000e+00 
  1.1740e+03   1.1220e-05   0.0000e+00   0.0000e+00 
  1.2515e+03   1.1220e-05   0.0000e+00   0.0000e+00 
  1.3342e+03   1.1220e-05   0.0000e+00   0.0000e+00 
  1.4223e+03   1.1220e-05   0.0000e+00   0.0000e+00 
  1.5163e+03   1.1220e-05   0.0000e+00   0.0000e+00 
  1.6164e+03   1.1220e-05   0.0000e+00   0.0000e+00 
  1.7232e+03   1.1220e-05   0.0000e+00   0.0000e+00 
  1.8370e+03   1.1220e-05   0.0000e+00   0.0000e+00 
  1.9583e+03   1.1220e-05   0.0000e+00   0.0000e+00 
  2.0877e+03   1.1220e-05   0.0000e+00   0.0000e+00 
  2.2256e+03   1.1220e-05   0.0000e+00   0.0000e+00 
  2.3726e+03   1.1220e-05   0.0000e+00   0.0000e+00 
  2.5293e+03   1.1220e-05   0.0000e+00   0.0000e+00 
  2.6964e+03   1.1220e-05   0.0000e+00   0.0000e+00 
  2.8745e+03   1.1220e-05   0.0000e+00   0.0000e+00 
  3.0643e+03   1.1220e-05   0.0000e+00   0.0000e+00 
  3.2667e+03   1.1220e-05   0.0000e+00   0.0000e+00 
  3.4825e+03   1.1220e-05   0.0000e+00   0.0000e+00 
  3.7125e+03   1.1220e-05   0.0000e+00   0.0000e+00 
  3.9577e+03   1.1220e-05   0.0000e+00   0.0000e+00 
  4.2191e+03   1.1220e-05   0.0000e+00   0.0000e+00 
  4.4978e+03   1.1220e-05   0.0000e+00   0.0000e+00 
  4.7949e+03   1.1220e-05   0.0000e+00   0.0000e+00 
  5.1116e+03   1.1220e-05   0.0000e+00   0.0000e+00 
  5.4492e+03   1.1220e-05   0.0000e+00   0.0000e+00 
  5.8091e+03   1.1220e-05   0.0000e+00   0.0000e+00 
  6.1928e+03   1.1220e-05   0.0000e+00   0.0000e+00 
  6.6019e+03   1.1220e-05   0.0000e+00   0.0000e+00 
  7.0379e+03   1.1220e-05   0.0000e+00   0.0000e+00 
  7.5028e+03   1.1220e-05   0.0000e+00   0.0000e+00 
  7.9983e+03   1.1220e-05   0.0000e+00   0.0000e+00 
  8.5266e+03   1.1220e-05   0.0000e+00   0.0000e+00 
  9.0898e+03   1.1220e-05   0.0000e+00   0.0000e+00 
  9.6902e+03   1.1220e-05   0.0000e+00   0.0000e+00 
  5.5000e+04   1.1220e-05   0.0000e+00   0.0000e+00 
  5.5000e+05   1.1220e-05   0.0000e+00   0.0000e+00 
  5.5000e+06   1.1220e-05   0.0000e+00   0.0000e+00 


  5.0000e-02   1.2589e-05   0.0000e+00   0.0000e+00 
  1.0330e-01   1.2589e-05   0.0000e+00   0.0000e+00 
  1.1013e-01   1.2589e-05   0.0000e+00   0.0000e+00 
